OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: NameTypeObject     время:17:38:58 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: SmallProfile     время:17:38:58 и дата:08.10.14
OK 		ReloadeSmallProfile: Площадь     время:17:38:58 и дата:08.10.14
OK 		ОБНОВЛЕНИЕ СТРОКИ В ТАБЛИЦЕ: SmallProfile     время:17:38:58 и дата:08.10.14
OK 		ReloadeSmallProfile: Население     время:17:38:58 и дата:08.10.14
OK 		ReloadeTypeObject: город     время:17:38:58 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: NameTypeObject     время:17:38:58 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: SmallProfile     время:17:38:58 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: FullData     время:17:38:58 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: NameTypeObject     время:17:38:59 и дата:08.10.14
OK 		ПОЛУЧЕНИЕ ВЫБОРКИ ИЗ ТАБЛИЦЫ: NameTypeObject     время:17:39:00 и дата:08.10.14
